Cell,HTAN_Biospecimen_ID,subtype
RU779D_231145138247964,HTA8_2019_1,SCLC-N
RU1065C_157689547704166,HTA8_2002_1,SCLC-A
RU1066_192306971626723,HTA8_2003_1,SCLC-A
RU1144_LN_169027876875573,HTA8_2007_2,SCLC-A
RU1065C_169658298034076,HTA8_2002_1,SCLC-A
RU1065C_231772351481708,HTA8_2002_1,SCLC-A
RU1152_121184445970668,HTA8_2009_1,SCLC-A
PleuralEffusion_196715471648611,HTA8_2001_1,SCLC-A
RU779D_156039896328948,HTA8_2019_1,SCLC-N
RU1065C_192788825237235,HTA8_2002_1,SCLC-A
RU779D_192265766526195,HTA8_2019_1,SCLC-N
RU1144_LN_170137154926436,HTA8_2007_2,SCLC-A
RU1065C_195617080133862,HTA8_2002_1,SCLC-A
RU1065C_130005127346485,HTA8_2002_1,SCLC-A
RU1145_121812478019996,HTA8_2008_1,SCLC-A
RU1124A_LN_170139168135462,HTA8_2006_1,SCLC-A
RU1145_239596291409772,HTA8_2008_1,SCLC-A
RU1066_164769519748971,HTA8_2003_1,SCLC-A
RU1066_130624810772830,HTA8_2003_1,SCLC-A
RU1124A_LN_192110489459435,HTA8_2006_1,SCLC-A
RU1065C_155842577353054,HTA8_2002_1,SCLC-A
PleuralEffusion_155971413567277,HTA8_2001_1,SCLC-A
PleuralEffusion_205870240815517,HTA8_2001_1,SCLC-A
RU1145_232302659095275,HTA8_2008_1,SCLC-A
RU1229A_Frozen_165920824744749,HTA8_2013_1,SCLC-A
RU1181C_227499932769717,HTA8_2010_1,SCLC-N
RU1195A_191621909343523,HTA8_2011_1,SCLC-A
RU1065C_231296401368811,HTA8_2002_1,SCLC-A
PleuralEffusion_191647322855725,HTA8_2001_1,SCLC-A
RU1145_134540451756460,HTA8_2008_1,SCLC-A
RU1065C_240550042298267,HTA8_2002_1,SCLC-A
PleuralEffusion_126680976186211,HTA8_2001_1,SCLC-A
RU1195A_230749778860318,HTA8_2011_1,SCLC-A
